"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"删除技能测评","4137","test_delete[resolution1-chrome]","人力资源设置.人力资源设置","Thu Jun 26 16:16:16 CST 2025","passed","Thu Jun 26 16:16:21 CST 2025","","test_技能测评设置","",""
"样式比较","6279","test_file_style[resolution1-chrome]","人力资源设置.人力资源设置","Thu Jun 26 16:16:21 CST 2025","passed","Thu Jun 26 16:16:27 CST 2025","","test_技能测评设置","",""
"编辑技能测评","4161","test_modify[resolution0-chrome]","人力资源设置.人力资源设置","Thu Jun 26 16:15:32 CST 2025","passed","Thu Jun 26 16:15:36 CST 2025","","test_技能测评设置","",""
"样式比较","6240","test_file_style[resolution0-chrome]","人力资源设置.人力资源设置","Thu Jun 26 16:15:40 CST 2025","passed","Thu Jun 26 16:15:46 CST 2025","","test_技能测评设置","",""
"职务名称查询","5372","test_search_position[resolution1-chrome]","人力资源设置.人力资源设置","Thu Jun 26 16:16:04 CST 2025","passed","Thu Jun 26 16:16:10 CST 2025","","test_技能测评设置","",""
"编辑技能测评","4030","test_modify[resolution1-chrome]","人力资源设置.人力资源设置","Thu Jun 26 16:16:12 CST 2025","passed","Thu Jun 26 16:16:16 CST 2025","","test_技能测评设置","",""
"项目名称查询","1333","test_search_project[resolution1-chrome]","人力资源设置.人力资源设置","Thu Jun 26 16:16:03 CST 2025","passed","Thu Jun 26 16:16:04 CST 2025","","test_技能测评设置","",""
"新增技能测评","2761","test_add[resolution1-chrome]","人力资源设置.人力资源设置","Thu Jun 26 16:16:10 CST 2025","passed","Thu Jun 26 16:16:12 CST 2025","","test_技能测评设置","",""
"项目名称查询","1180","test_search_project[resolution0-chrome]","人力资源设置.人力资源设置","Thu Jun 26 16:15:22 CST 2025","passed","Thu Jun 26 16:15:23 CST 2025","","test_技能测评设置","",""
"职务名称查询","5448","test_search_position[resolution0-chrome]","人力资源设置.人力资源设置","Thu Jun 26 16:15:23 CST 2025","passed","Thu Jun 26 16:15:29 CST 2025","","test_技能测评设置","",""
"新增技能测评","2812","test_add[resolution0-chrome]","人力资源设置.人力资源设置","Thu Jun 26 16:15:29 CST 2025","passed","Thu Jun 26 16:15:32 CST 2025","","test_技能测评设置","",""
"删除技能测评","4310","test_delete[resolution0-chrome]","人力资源设置.人力资源设置","Thu Jun 26 16:15:36 CST 2025","passed","Thu Jun 26 16:15:40 CST 2025","","test_技能测评设置","",""
