"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"删除分类","0","test_delete[resolution0-chrome]","系统设置.系统管理设置.选项表单管理","Sat Jul 26 15:16:32 CST 2025","broken","Sat Jul 26 15:16:32 CST 2025","","test_ERP分类集合","",""
"是否停用查询","4157","test_search_status[resolution0-chrome]","系统设置.系统管理设置.网站配置管理","Sat Jul 26 15:07:31 CST 2025","broken","Sat Jul 26 15:07:35 CST 2025","","test_申请号码管理","",""
"删除配置","23212","test_delete[resolution0-chrome]","系统设置.系统管理设置.选项表单管理","Sat Jul 26 15:21:11 CST 2025","broken","Sat Jul 26 15:21:34 CST 2025","","test_选项分类配置","",""
"样式比较","21211","test_file_style[resolution0-chrome]","系统设置.人力资源设置.人力资源设置","Sat Jul 26 14:49:19 CST 2025","broken","Sat Jul 26 14:49:40 CST 2025","","test_技能鉴定设置","",""
"样式比较","0","test_file_style[resolution0-chrome]","协同办公.我的工作","Sat Jul 26 14:47:42 CST 2025","broken","Sat Jul 26 14:47:42 CST 2025","","test_我的提交","",""
"删除薪资等级","3887","test_delete[resolution0-chrome]","系统设置.人力资源设置.薪资管理设置","Sat Jul 26 14:57:48 CST 2025","passed","Sat Jul 26 14:57:52 CST 2025","","test_薪资等级设置","",""
"样式比较","0","test_file_style[resolution0-chrome]","","Sat Jul 26 14:37:12 CST 2025","skipped","Sat Jul 26 14:37:12 CST 2025","","test_新增简历","",""
"婚姻查询","1127","test_search_by_married[resolution0-chrome]","","Sat Jul 26 14:32:15 CST 2025","passed","Sat Jul 26 14:32:16 CST 2025","","","",""
"二级菜单查询","23324","test_search_second[resolution0-chrome]","系统设置.系统管理设置.菜单权限管理","Sat Jul 26 15:12:46 CST 2025","broken","Sat Jul 26 15:13:09 CST 2025","","test_公共表单","",""
"编辑岗位工种","3855","test_modify[resolution0-chrome]","系统设置.人力资源设置.组织架构设置","Sat Jul 26 14:51:47 CST 2025","passed","Sat Jul 26 14:51:51 CST 2025","","test_岗位工种设置","",""
"样式比较","1209","test_file_style[resolution0-chrome]","系统设置.系统管理设置.菜单权限管理","Sat Jul 26 15:16:07 CST 2025","passed","Sat Jul 26 15:16:08 CST 2025","","test_职务统称","",""
"工号查询","0","test_search_by_number[resolution0-chrome]","人力资源.人力资源管理.人力资源工作","Sat Jul 26 14:41:51 CST 2025","broken","Sat Jul 26 14:41:51 CST 2025","","test_员工档案管理","",""
"样式比较","24534","test_file_style[resolution1-chrome]","系统设置.系统管理设置.选项表单管理","Sat Jul 26 15:18:03 CST 2025","broken","Sat Jul 26 15:18:28 CST 2025","","test_ERP分类集合","",""
"编辑考勤标准","4361","test_modify[resolution0-chrome]","系统设置.人力资源设置.考勤管理设置","Sat Jul 26 14:54:52 CST 2025","passed","Sat Jul 26 14:54:56 CST 2025","","test_考勤分类设置","",""
"样式比较","4256","test_file_style[resolution0-chrome]","系统设置.系统管理设置.网站配置管理","Sat Jul 26 15:06:53 CST 2025","passed","Sat Jul 26 15:06:57 CST 2025","","test_文本配置管理","",""
"职务查询","0","test_search_by_role[resolution0-chrome]","人力资源.人力资源管理.人力资源工作","Sat Jul 26 14:41:51 CST 2025","broken","Sat Jul 26 14:41:51 CST 2025","","test_员工档案管理","",""
"发送密码","0","test_send_password[resolution0-chrome]","系统设置.系统管理设置.菜单权限管理","Sat Jul 26 15:14:11 CST 2025","broken","Sat Jul 26 15:14:11 CST 2025","","test_用户管理","",""
"修改申请信息","4385","test_modify[resolution0-chrome]","系统设置.系统管理设置.网站配置管理","Sat Jul 26 15:07:40 CST 2025","passed","Sat Jul 26 15:07:44 CST 2025","","test_申请号码管理","",""
"新增二级选项配置","23295","test_add2[resolution0-chrome]","系统设置.系统管理设置.选项表单管理","Sat Jul 26 15:21:34 CST 2025","broken","Sat Jul 26 15:21:57 CST 2025","","test_选项分类配置","",""
"学历查询","6115","test_search_by_edu[resolution0-chrome]","人力资源.人力资源管理.人力资源工作","Sat Jul 26 14:43:02 CST 2025","passed","Sat Jul 26 14:43:08 CST 2025","","test_待入职中人员","",""
"公共表单设置","7190","test_set[resolution0-chrome]","系统设置.系统管理设置.菜单权限管理","Sat Jul 26 15:13:09 CST 2025","passed","Sat Jul 26 15:13:16 CST 2025","","test_公共表单","",""
